Source, Target, Atr1, Atr2
o8DMdE-VAiUydUBJ2E6MZA,-oCYfB-JL3Yc_RECg4B1Qw,{'color': 'bl', 'weight': 2}
asZ3_H14RkKEeNPXoMqyQw,-oCYfB-JL3Yc_RECg4B1Qw,{'color': 'p', 'weight': 2}
7gmWYbCPZRtGCq7W3egclw,-oCYfB-JL3Yc_RECg4B1Qw,{'color': 'p', 'weight': 2}
F3v2FifOAl-ZPaFqoO5mrg,-oCYfB-JL3Yc_RECg4B1Qw,{'color': 'p', 'weight': 2}
Pnae8gGTkk85vSJF9wo7sg,-oCYfB-JL3Yc_RECg4B1Qw,{'color': 'bl', 'weight': 2}
-IIvmjoEKa9Trhf4OxzJeA,-oCYfB-JL3Yc_RECg4B1Qw,{'color': 'p', 'weight': 2}
-oCYfB-JL3Yc_RECg4B1Qw,eZE0FdYB9rUvbuPS4fNyYA,{'color': 'p', 'weight': 2}
-oCYfB-JL3Yc_RECg4B1Qw,4nQBDXM1GUSBDpCJo80avg,{'color': 'bl', 'weight': 2}
-oCYfB-JL3Yc_RECg4B1Qw,iyeJrTWE3_Xtup77dC_Mtg,{'color': 'p', 'weight': 2}
-oCYfB-JL3Yc_RECg4B1Qw,hpAOH8cmY5WHjnl8jGQ1dA,{'color': 'p', 'weight': 2}
-oCYfB-JL3Yc_RECg4B1Qw,xG625ef0W6FhNPcFKAdewA,{'color': 'p', 'weight': 2}
-oCYfB-JL3Yc_RECg4B1Qw,q-9jaNRUJjXY_fy6u_a_nQ,{'color': 'p', 'weight': 2}
-oCYfB-JL3Yc_RECg4B1Qw,ST4FzwQJ-14w1UuyIQE7LA,{'color': 'p', 'weight': 2}
-oCYfB-JL3Yc_RECg4B1Qw,-BBHfQBgBD1BA5wzVui86Q,{'color': 'p', 'weight': 2}
-oCYfB-JL3Yc_RECg4B1Qw,808JwvDGIJeXuFG0rLaepA,{'color': 'p', 'weight': 2}
-oCYfB-JL3Yc_RECg4B1Qw,YJ3lsGCgOJ07FYqUQyqxNg,{'color': 'p', 'weight': 2}
-oCYfB-JL3Yc_RECg4B1Qw,HA9j8yafU_sPX2-VkTCZLw,{'color': 'p', 'weight': 2}
-oCYfB-JL3Yc_RECg4B1Qw,xoBBLN7uDy_oI4PiKD4VWA,{'color': 'p', 'weight': 2}
-oCYfB-JL3Yc_RECg4B1Qw,SnjRs9XzbUY0xVYt-kMyOg,{'color': 'p', 'weight': 2}
-oCYfB-JL3Yc_RECg4B1Qw,qUY04I5gDm5uyInd1mCizg,{'color': 'p', 'weight': 2}
-oCYfB-JL3Yc_RECg4B1Qw,RvUTDPBCaqLryErshGgigg,{'color': 'p', 'weight': 2}
-oCYfB-JL3Yc_RECg4B1Qw,2sUwqyAICjFUnC4Iu_W3qQ,{'color': 'p', 'weight': 2}
-oCYfB-JL3Yc_RECg4B1Qw,3sLc73JikDYNwE3vd7-cZw,{'color': 'p', 'weight': 2}
-oCYfB-JL3Yc_RECg4B1Qw,jGF4GiEs6BMgzyTJIkK2dA,{'color': 'p', 'weight': 2}
-oCYfB-JL3Yc_RECg4B1Qw,ZgOU8gVpIaIYoy-9ThquUQ,{'color': 'p', 'weight': 2}
-oCYfB-JL3Yc_RECg4B1Qw,xgX93wN3fqayAUeMMkCaaA,{'color': 'p', 'weight': 2}
-oCYfB-JL3Yc_RECg4B1Qw,aK1_CfnTLedsLKDd_TeRHg,{'color': 'p', 'weight': 2}
-oCYfB-JL3Yc_RECg4B1Qw,Tta8AYBZq3fwr1n2up75vQ,{'color': 'bl', 'weight': 2}
-oCYfB-JL3Yc_RECg4B1Qw,VI_bTYX5w_H0EC6N3dOexQ,{'color': 'bl', 'weight': 2}
-oCYfB-JL3Yc_RECg4B1Qw,qR-kjkED4bnRSSMeg5k1gg,{'color': 'p', 'weight': 2}
-oCYfB-JL3Yc_RECg4B1Qw,2Ol5gAb7rikoVhol8ewKGQ,{'color': 'p', 'weight': 2}
-oCYfB-JL3Yc_RECg4B1Qw,IM15oB7zInJytQk2BfKRrg,{'color': 'p', 'weight': 2}
-oCYfB-JL3Yc_RECg4B1Qw,PzzxZ8oOSu3aDwrduLhYxA,{'color': 'p', 'weight': 2}
-oCYfB-JL3Yc_RECg4B1Qw,AeSuMBgAlXIIFFBH68MYfA,{'color': 'p', 'weight': 2}
-oCYfB-JL3Yc_RECg4B1Qw,GwF9MLWb34ttSRQdgEypEQ,{'color': 'p', 'weight': 2}
-oCYfB-JL3Yc_RECg4B1Qw,fCtYjRZo5vV8dfmod128uQ,{'color': 'bl', 'weight': 2}
-oCYfB-JL3Yc_RECg4B1Qw,hYWsMDz0ms7TOnFTcsxYcw,{'color': 'p', 'weight': 2}
-oCYfB-JL3Yc_RECg4B1Qw,GfSlNGcRHKEv1VWfEXbm4w,{'color': 'p', 'weight': 2}
-oCYfB-JL3Yc_RECg4B1Qw,tfJpt7XJFhaDvhJRFsC79A,{'color': 'p', 'weight': 2}
-oCYfB-JL3Yc_RECg4B1Qw,QlpNG4q2tBLo2arUlJoHBA,{'color': 'p', 'weight': 2}
-oCYfB-JL3Yc_RECg4B1Qw,9Eo8MaPFZNZvb3YsMTx0BA,{'color': 'bl', 'weight': 2}
-oCYfB-JL3Yc_RECg4B1Qw,kg8MYEVgwvBHDX01V9vm3A,{'color': 'bl', 'weight': 2}
